code,nom,population
44001,Abbaretz,2073
44002,Aigrefeuille-sur-Maine,4156
44003,Ancenis-Saint-Géréon,11600
44005,Chaumes-en-Retz,7440
44006,Assérac,1890
44007,Avessac,2452
44009,Basse-Goulaine,9679
44010,Batz-sur-Mer,2892
44012,La Bernerie-en-Retz,3536
44013,Besné,3322
44014,Le Bignon,3976
44015,Blain,10376
44016,La Boissière-du-Doré,1106
44018,Bouaye,8343
44019,Bouée,1097
44020,Bouguenais,20530
44021,Villeneuve-en-Retz,5120
44022,Boussay,2884
44023,Bouvron,3153
44024,Brains,2709
44025,Campbon,4058
44026,Carquefou,20921
44027,Casson,2605
44028,Le Cellier,4051
44029,Divatte-sur-Loire,7252
44030,La Chapelle-des-Marais,4492
44031,La Chapelle-Glain,809
44032,La Chapelle-Heulin,3467
44033,La Chapelle-Launay,3270
44035,La Chapelle-sur-Erdre,20690
44036,Châteaubriant,12260
44037,Château-Thébaud,3129
44038,Chauvé,3070
44039,Cheix-en-Retz,1182
44041,La Chevrolière,6539
44043,Clisson,7452
44044,Conquereuil,1061
44045,Cordemais,4012
44046,Corsept,2594
44047,Couëron,24103
44048,Couffé,2535
44049,Le Croisic,4056
44050,Crossac,2974
44051,Derval,3601
44052,Donges,8219
44053,Drefféac,2288
44054,Erbray,3072
44055,La Baule-Escoublac,16912
44056,Fay-de-Bretagne,4023
44057,Fégréac,2243
44058,Fercé,517
44061,Frossay,3307
44062,Le Gâvre,1890
44063,Gétigné,3883
44064,Gorges,5203
44065,Grand-Auverné,774
44066,Grandchamp-des-Fontaines,7062
44067,Guémené-Penfao,5243
44068,Guenrouet,3673
44069,Guérande,16804
44070,La Haie-Fouassière,4775
44071,Haute-Goulaine,6095
44072,Herbignac,7224
44073,Héric,6585
44074,Indre,4160
44075,Issé,1856
44076,Jans,1364
44077,Joué-sur-Erdre,2797
44078,Juigné-des-Moutiers,334
44079,Le Landreau,3267
44080,Lavau-sur-Loire,773
44081,Legé,4817
44082,Ligné,5693
44083,La Limouzinière,2459
44084,Le Loroux-Bottereau,8552
44085,Louisfert,945
44086,Lusanger,1074
44087,Machecoul-Saint-Même,7689
44088,Maisdon-sur-Sèvre,3095
44089,Malville,3752
44090,La Marne,1586
44091,Marsac-sur-Don,1524
44092,Massérac,665
44094,Mauves-sur-Loire,3409
44095,La Meilleraye-de-Bretagne,1606
44096,Mésanger,4724
44097,Mesquer,2171
44098,Missillac,5709
44099,Moisdon-la-Rivière,1990
44100,Monnières,2388
44101,La Montagne,6505
44102,Montbert,3388
44103,Montoir-de-Bretagne,7282
44104,Montrelais,859
44105,Mouais,352
44106,Les Moutiers-en-Retz,1939
44107,Mouzeil,2017
44108,Mouzillon,2893
44109,Nantes,327734
44110,Nort-sur-Erdre,9570
44111,Notre-Dame-des-Landes,2360
44112,Noyal-sur-Brutz,575
44113,Nozay,4292
44114,Orvault,28534
44115,Oudon,3904
44116,Paimbœuf,3045
44117,Le Pallet,3413
44118,Pannecé,1439
44119,Paulx,2054
44120,Le Pellerin,5319
44121,Petit-Auverné,434
44122,Petit-Mars,3888
44123,Pierric,1010
44124,Le Pin,868
44125,Piriac-sur-Mer,2685
44126,La Plaine-sur-Mer,4760
44127,La Planche,2810
44128,Plessé,5335
44129,Pontchâteau,11474
44130,Pont-Saint-Martin,7093
44131,Pornic,18745
44132,Pornichet,12800
44133,Port-Saint-Père,3059
44134,Pouillé-les-Côteaux,1033
44135,Le Pouliguen,4173
44136,Préfailles,1321
44137,Prinquiau,3591
44138,Puceul,1142
44139,Quilly,1565
44140,La Regrippière,1609
44141,La Remaudière,1303
44142,Remouillé,1932
44143,Rezé,43556
